,True,Predicted
0,INTP,ESFP
1,ISFJ,ISFP
2,ENFP,ENFJ
3,ENTJ,ESTP
4,INTJ,INFJ
5,ISFP,ISTJ
6,ENTP,ENTJ
7,INTP,INTP
8,ENTP,INFP
9,ISTJ,INTP
10,INFP,ESTJ
11,ENTP,ENTJ
12,ENTP,ESFJ
13,INTP,INTJ
14,ENFJ,ESFP
15,INTJ,ENFP
16,ENFP,ENFP
17,ISTP,ESFP
18,ESFP,ESTP
19,INFJ,ESTP
20,ISFP,INTJ
21,ENTJ,INFP
22,INFP,ENTP
23,ESFP,ESTJ
24,ESTJ,ENFJ
25,INFP,INFP
26,INTP,ENTP
27,ENFP,ESTP
28,ESFP,ESFJ
29,ENFP,ESTJ
30,INTJ,INTP
31,INTP,ISTJ
32,ISFP,ENFJ
33,INTP,ENFJ
34,INTP,ISTP
35,INTP,ISTP
36,INTP,INFJ
37,INTP,ENFP
38,INFJ,ESTJ
39,ENTP,INTP
40,ISTP,INFJ
41,INTP,ISTJ
42,INTJ,ISTP
43,ISTJ,ENTP
44,ISFP,ISTJ
45,INTP,INTP
46,ISTJ,ESTP
47,INTP,ENFJ
48,ESFP,ENFJ
49,INTP,ISTJ
50,INTP,ISTJ
51,ENFJ,ENFJ
52,INFJ,INFP
53,INTJ,INTJ
54,INFP,INTP
55,INTP,INTP
56,ISFP,ENFJ
57,INTJ,ISFJ
58,ESFP,ESTJ
59,INFP,INTJ
60,ENFP,ENFJ
61,INTP,ESTJ
62,INTJ,ESFJ
63,ENTP,INFJ
64,INFP,ESTJ
65,INTJ,ISFP
66,INTJ,ENFJ
67,ISTJ,ESTJ
68,INTP,ESTP
69,ISFP,ISFP
70,ESFP,ESFP
71,ENTP,ESFP
72,INTJ,ESTP
73,ESFJ,ISFP
74,ENTJ,ISFP
75,INTJ,ENFJ
76,ISFP,ISFP
77,ENTJ,ENFJ
78,INTJ,ISTJ
79,ENTJ,ESTJ
80,ISFJ,ENFP
81,INTJ,ISTP
82,ISFJ,ESTJ
83,INTP,ESTJ
84,INFP,ISTJ
85,ISFP,ESTJ
86,INFP,ISFJ
87,INFJ,ISTJ
88,ESTP,ISTP
89,ISTP,ESTJ
90,INFJ,ENTP
91,ENFJ,INTP
92,INFJ,INFP
93,ISTJ,INTP
94,ISFJ,INFP
95,ENTP,INTP
96,INFJ,INTJ
97,ENTP,ESTJ
98,ENTJ,ISTP
99,ESTP,ISFP
100,INFP,ISFP
101,INTJ,ESTP
102,ISTJ,ISTJ
103,INFP,ISFP
104,INFP,ISTP
105,INTJ,INFJ
106,INTJ,ESTJ
107,ISFJ,ISFP
108,INFJ,ESFP
109,INTJ,ENFJ
110,ESTP,ENFP
111,INFP,ENFJ
112,INTP,ESTP
113,INTP,ESTP
114,INTP,ISTP
115,INTJ,ENFJ
116,ENTP,ISFP
117,INTP,ENFJ
118,INTJ,ENFP
119,ENFP,ENFJ
120,INTJ,ISTP
121,INTP,ESTJ
122,ESFJ,INFP
123,INFJ,ENFP
124,INFP,ESTP
125,INFP,ENFP
126,ESFJ,INFP
127,ENTJ,ESTJ
128,INFJ,ESTJ
129,ISTP,INFJ
130,ENTP,ESTJ
131,ENTJ,INFP
132,ENFP,ISFP
133,INTP,ESTJ
134,INFJ,ESTP
135,ENTP,ISTJ
136,INTP,ESFJ
137,INFJ,ESFP
138,INTP,ISTJ
139,ISFJ,ENFP
140,INTP,ISTP
141,ENFJ,ISTJ
142,ENFP,INFP
143,INTJ,INTP
