,True,Predicted
0,ISFP,INFP
1,INTJ,INTJ
2,ISTJ,ESFJ
3,ENFP,ISFP
4,ENTP,ESTJ
5,ENFP,ENFJ
6,INTJ,INFP
7,INFP,ESTP
8,ISFP,ISTJ
9,INTP,ISFJ
10,ISTJ,ISTP
11,ENTP,ESTJ
12,ENFJ,INTJ
13,ISTJ,INTJ
14,INFJ,INFP
15,INTJ,INTJ
16,INTJ,ISFJ
17,ISTP,ENTP
18,ISTJ,INTP
19,INFJ,ISTP
20,INTJ,ISFP
21,ENTP,ENTJ
22,INTJ,ISTJ
23,ISFJ,ISTP
24,INFP,INFP
25,ENFJ,INTJ
26,ENTP,ESTP
27,ESFP,ESFP
28,INTJ,INFP
29,ISFJ,ENTP
30,ISFJ,ENTP
31,ESFJ,ENFJ
32,ESTP,ISTP
33,ISTJ,ENFJ
34,ESTJ,ESFP
35,INTJ,ESFJ
36,ESTP,ESTJ
37,ISTJ,ISTJ
38,INTP,INFP
39,INTJ,ISFJ
40,ISFP,ENTJ
41,INFP,ENFJ
42,INTP,ESTP
43,ENTP,INTP
44,ENTJ,ENFJ
45,ISTP,ESFJ
46,ISFJ,INTJ
47,ESFP,ESFJ
48,ENFJ,INFJ
49,ISTP,ENTJ
50,ESTP,ESFJ
51,ISTP,ENTJ
52,ENFP,INFP
53,ESFP,ISFJ
54,ISFP,ISFP
55,ENFJ,ESFJ
56,ISTJ,ESFJ
57,ENFJ,ENTP
58,ISFJ,ESFP
59,ISFJ,INTJ
60,ENFJ,ISFJ
61,INTJ,INTJ
62,INTJ,ESTP
63,ISFJ,ESFJ
64,ESFP,ESFP
65,ESTP,INFJ
66,ISTJ,ESTP
67,ISFJ,ESTJ
68,ISTP,INTJ
69,ENFJ,INFJ
70,ENTP,INFJ
71,ISTJ,ISTJ
72,ESFP,ESTP
73,INTJ,ESTJ
74,INTJ,ESTJ
75,ESTJ,ENTP
76,INTJ,ESFJ
77,INTJ,ENTP
78,INTJ,INFP
79,ENTP,ISTJ
80,ESFP,ISTP
81,INFJ,INFP
82,ISFP,INTP
83,ENFP,ISTP
84,ESTP,INTJ
85,ISFP,INFP
86,ENTP,ENFJ
87,ESTP,INTJ
88,INTP,INTP
89,INFP,ISTP
90,INTP,ESTP
91,ENTP,ISFP
92,INFJ,INFP
93,INFP,ENFJ
94,ENFJ,ENFJ
95,INTJ,ESTP
96,ESTJ,INFP
97,ESTP,INFP
98,ENTJ,INFJ
99,ISTP,ENFJ
100,ENFP,INTJ
101,ENTP,INTP
102,ESFJ,INTP
103,ENFP,ISFJ
104,ENTP,ESFP
105,ESFP,ESFP
106,ESTJ,INFJ
107,ENTP,INFP
108,INTJ,INFJ
109,ESTJ,ESTP
110,ESFP,ISTP
111,INFP,ISFP
112,ENTJ,ESFJ
113,ESTJ,ESTJ
114,ISFJ,ESFJ
115,ISFJ,INTJ
116,ESTP,ISTJ
117,ENFJ,ESFJ
118,ISFJ,INTJ
119,ESTJ,ESFJ
120,INFJ,ISFJ
121,ISTJ,ESFJ
122,ISFP,INTJ
123,ENTP,ENTP
124,ESTP,ISTP
125,ISFP,ESFP
126,ESTP,ISTJ
127,ISTP,ISTP
128,ESFJ,ENFJ
129,ENTJ,INTJ
130,ISTP,ENTJ
