,True,Predicted
0,ENFJ,INTP
1,ENFJ,ENTJ
2,ENFJ,ESTJ
3,ENFJ,ESTJ
4,ENFJ,ESFJ
5,ENFJ,ENFJ
6,ENFJ,INFP
7,ENFJ,ENFP
8,ENFJ,ENFJ
9,ENFJ,ESTJ
10,ENFJ,ENFJ
11,ENFJ,ISFJ
12,ENFJ,ESFP
13,ENFJ,ENFJ
14,ENFJ,ESTJ
15,ENFJ,ENTJ
16,ENFJ,ENFJ
17,ENFJ,ESTP
18,ENFJ,ISFP
19,ENFJ,ENFJ
20,ENFJ,ISFP
21,ENFJ,ESTJ
22,ENFJ,ENFP
23,ENFJ,ISTP
24,ENFJ,ESTJ
25,ENFJ,ENFP
26,ENFJ,INFJ
27,ENFJ,ISTJ
28,ENFJ,ESFP
29,ENFJ,ESTP
30,ENFJ,ISFP
31,ENFJ,ENFP
32,ENFJ,ENFJ
33,ENFJ,ENFP
34,ENFJ,INTJ
35,ENFJ,ENFJ
36,ENFJ,INTP
37,ENFJ,ESFP
38,ENFJ,INFJ
39,ENFJ,ISTP
40,ENFJ,ESFJ
41,ENFJ,ISTJ
42,ENFJ,ESTP
43,ENFJ,INTJ
44,ENFJ,INTJ
45,ENFJ,ENTJ
46,ENFJ,INTJ
47,ENFJ,ENTJ
48,ENFJ,INTJ
49,ENFJ,INTP
50,ENFJ,INTJ
51,ENFJ,ISTP
52,ENFJ,ESTJ
53,ENFJ,INFP
54,ENFJ,ESFJ
55,ENFJ,ESTJ
56,ENFJ,ESFP
57,ENFJ,ENFJ
58,ENFJ,ENTJ
59,ENFJ,ESFJ
60,ENFJ,ISFJ
61,ENFJ,ENTJ
62,ENFJ,ENFJ
63,ENFJ,ESFJ
64,ENFJ,ENFJ
65,ENFJ,ENFJ
66,ENFJ,INFP
67,ENFJ,ENFP
68,ENFJ,ESFP
69,ENFJ,ESTP
70,ENFJ,ENFJ
71,ENFJ,INFP
72,ENFJ,ISTJ
73,ENFJ,ISFP
74,ENFJ,ENFJ
75,ENFJ,ENFJ
76,ENFJ,ENFJ
77,ENFJ,ESFJ
78,ENFJ,ESFP
79,ENFJ,ESFP
80,ENFJ,ESFP
81,ENFJ,INTP
82,ENFJ,ESFJ
83,ENFJ,ISTJ
84,ENFJ,ISTJ
85,ENFJ,ENFJ
86,ENFJ,ESFP
87,ENFJ,ENFJ
88,ENFJ,ISFP
89,ENFJ,ISFJ
90,ENFJ,ESFJ
91,ENFJ,ESTJ
92,ENFJ,INFJ
93,ENFJ,ESTJ
94,ENFJ,ENFJ
95,ENFJ,ENFJ
96,ENFJ,ESTJ
97,ENFJ,ENFJ
98,ENFJ,ESTP
99,ENFJ,ISTJ
100,ENFJ,ISTP
101,ENFJ,ESTP
102,ENFJ,INFP
103,ENFJ,ISFP
104,ENFJ,ESFP
105,ENFJ,INTP
106,ENFJ,ENTJ
107,ENFJ,ISTJ
108,ENFJ,ENFJ
109,ENFJ,ISTJ
110,ENFJ,INTJ
111,ENFJ,ISTJ
112,ENFJ,ESTJ
113,ENFJ,ESFP
114,ENFJ,ENFP
115,ENFJ,ENFJ
116,ENFJ,ENFJ
117,ENFJ,ESFJ
118,ENFJ,ENFP
119,ENFJ,ESTP
120,ENFJ,ENFP
121,ENFJ,ESTP
122,ENFJ,ISTP
123,ENFJ,ISFP
124,ENFJ,ESFJ
125,ENFJ,ESFJ
126,ENFJ,INFJ
127,ENFJ,ESTP
128,ENFJ,INTP
129,ENFJ,ESFJ
130,ENFJ,ISTP
131,ENFJ,ESFJ
132,ENFJ,ESFP
133,ENFJ,ESFP
134,ENFJ,ENTJ
135,ENFJ,ESFJ
136,ENFJ,ENTJ
137,ENFJ,ESTP
138,ENFJ,ESFP
139,ENFJ,ENFP
