,True,Predicted
0,INTP,INFP
1,ISFJ,INTP
2,ENFP,INFP
3,ENTJ,INTP
4,INTJ,INFJ
5,ISFP,INTP
6,ENTP,INTP
7,INTP,INTP
8,ENTP,INFP
9,ISTJ,INTP
10,INFP,INTP
11,ENTP,INTP
12,ENTP,INFP
13,INTP,INTP
14,ENFJ,INFP
15,INTJ,INFP
16,ENFP,INTP
17,ISTP,INFP
18,ESFP,INTP
19,INFJ,INTP
20,ISFP,INTJ
21,ENTJ,INFP
22,INFP,INTP
23,ESFP,INTP
24,ESTJ,INFP
25,INFP,INFP
26,INTP,INFP
27,ENFP,ISTJ
28,ESFP,INTP
29,ENFP,INFP
30,INTJ,INTP
31,INTP,ISTJ
32,ISFP,INTP
33,INTP,INTP
34,INTP,INTP
35,INTP,INTP
36,INTP,INTP
37,INTP,INTP
38,INFJ,INTP
39,ENTP,INFP
40,ISTP,INFJ
41,INTP,ISTJ
42,INTJ,INFP
43,ISTJ,INTP
44,ISFP,INTP
45,INTP,INTP
46,ISTJ,INFP
47,INTP,INTP
48,ESFP,INFP
49,INTP,ISTJ
50,INTP,INTP
51,ENFJ,INTP
52,INFJ,INFP
53,INTJ,INTJ
54,INFP,INTP
55,INTP,INTP
56,ISFP,INTJ
57,INTJ,INTP
58,ESFP,INFP
59,INFP,INTJ
60,ENFP,INFP
61,INTP,INTP
62,INTJ,INTP
63,ENTP,INFP
64,INFP,INFP
65,INTJ,INTP
66,INTJ,INFP
67,ISTJ,INFP
68,INTP,INTP
69,ISFP,INTP
70,ESFP,INFP
71,ENTP,INFP
72,INTJ,INTP
73,ESFJ,INTP
74,ENTJ,INFP
75,INTJ,INTP
76,ISFP,INTP
77,ENTJ,INFP
78,INTJ,INTP
79,ENTJ,INFJ
80,ISFJ,INTP
81,INTJ,INTP
82,ISFJ,INFP
83,INTP,INFP
84,INFP,INTP
85,ISFP,INTP
86,INFP,INFP
87,INFJ,INTP
88,ESTP,INFP
89,ISTP,INFP
90,INFJ,INTJ
91,ENFJ,INTP
92,INFJ,INFP
93,ISTJ,INTP
94,ISFJ,INFJ
95,ENTP,INTP
96,INFJ,INTP
97,ENTP,INTP
98,ENTJ,INFP
99,ESTP,INFP
100,INFP,INTP
101,INTJ,INTP
102,ISTJ,ISTJ
103,INFP,INFP
104,INFP,INTP
105,INTJ,INTJ
106,INTJ,INTP
107,ISFJ,INTP
108,INFJ,INFP
109,INTJ,INFP
110,ESTP,INTP
111,INFP,INFP
112,INTP,INTP
113,INTP,INTP
114,INTP,ENTP
115,INTJ,INTP
116,ENTP,INFP
117,INTP,INFP
118,INTJ,INFJ
119,ENFP,INTP
120,INTJ,INTP
121,INTP,INFP
122,ESFJ,INFP
123,INFJ,INFP
124,INFP,INTP
125,INFP,INFP
126,ESFJ,INFP
127,ENTJ,INTP
128,INFJ,INTP
129,ISTP,INFJ
130,ENTP,INFP
131,ENTJ,INTP
132,ENFP,INFP
133,INTP,ENTP
134,INFJ,INTP
135,ENTP,INFP
136,INTP,INTJ
137,INFJ,INFP
138,INTP,INTJ
139,ISFJ,INTP
140,INTP,INTP
141,ENFJ,INFP
142,ENFP,INTP
143,INTJ,INTP
144,ISFP,INTJ
145,ISTJ,INTP
146,INTJ,INFP
147,INFP,INFP
148,INTP,INTP
149,ENTJ,INTP
150,ISTP,INTJ
151,ISFJ,INFJ
152,ENTP,INFP
153,ESFP,INTP
154,ISTP,INTJ
155,INTJ,INTP
156,INTJ,INTJ
157,ISTJ,INTP
158,INTP,INFJ
159,INFP,INFP
160,INFJ,INTP
161,INTP,INTP
162,INFP,INFJ
163,INTJ,INFP
164,INTJ,INTJ
165,ESTP,ENTP
166,ENFP,INTP
167,ISFJ,INFJ
168,INFJ,INFP
169,INFJ,ENTP
170,ENTP,INTP
171,INTP,INTP
172,INTP,INTP
173,ESFJ,INFP
174,INFJ,INTP
175,INFP,INTP
176,INFJ,INFP
177,INTJ,INTJ
178,INTP,INFP
179,INTJ,INFP
180,ISTJ,INTP
181,ENTJ,INTP
182,ENFP,INTP
183,INFP,INTP
184,ISFJ,INTP
185,ISFJ,INFP
186,INTP,INTP
187,INTJ,INFJ
188,INTP,INTP
189,ESFP,ISTJ
190,ENTJ,INTP
191,ENFP,INTP
192,ENFP,INFP
193,ESTJ,INFP
194,ENFJ,INTJ
195,ENFJ,INTP
196,ISFP,INTJ
197,ENTP,INTP
198,ISFJ,INTP
199,ENFP,INFP
200,ENFP,INFJ
201,ISTJ,INFP
202,INTP,INTJ
203,ESTP,INFJ
204,INFP,INTP
205,ISFJ,INFP
206,INFP,INTP
207,INTP,INTP
208,ISFJ,ISTJ
209,ESFP,ISTJ
210,INTJ,INTP
211,ISTJ,INTP
212,INFP,INFP
213,INTP,INTP
214,ESTP,INTP
215,ISTP,INTP
216,INTP,INTJ
217,ISTJ,INFP
218,INTJ,INFP
219,INTJ,INTP
220,ENFJ,INFP
221,INTP,INTJ
222,INTJ,INTP
223,ISTP,INFP
224,INTP,INTP
225,ESTJ,INTP
226,INTP,INTP
227,ENFP,INFJ
228,ENTP,INTP
229,INFP,INFJ
230,ISFJ,INFJ
231,INFJ,INTP
232,INFP,INTP
233,ENTP,INTJ
234,ISTP,INFP
235,ISTP,INTJ
236,INFJ,INTP
237,ESTP,INTP
238,INTJ,INTP
239,ENTP,INFP
240,ESFP,INTP
241,INTP,INTP
242,INFJ,INTJ
243,ISTP,INFP
244,ESTJ,INTJ
245,INTJ,INTP
246,ENTP,INFP
247,INTP,INTP
248,INTP,INFP
249,INFP,INTP
250,INFP,INTP
251,ESTP,INFP
252,ENTJ,INTP
253,INTP,ISTJ
254,ESFP,INFP
255,INTP,INTP
256,ISFP,INTP
257,ENFP,INTJ
258,ENTP,INFP
259,INFJ,INFP
260,ENTP,INFJ
261,INTP,INTP
262,INTP,INTJ
263,INTP,INTJ
264,INFP,INTP
265,INFP,INTP
266,ISTJ,INFP
267,INFP,INTP
268,ISFP,INTJ
269,ISTJ,ENTJ
270,INFJ,INFP
271,INTJ,INTP
272,INTJ,INTP
273,INFP,INFP
274,INTJ,INTP
275,ENTP,INFP
276,INTP,INTP
277,ENTP,INFP
278,ESFP,INFP
279,INFP,INFJ
280,ENFJ,INFP
281,ENTP,INFP
282,INTJ,INTP
283,ISTJ,ISTJ
284,ENFP,INTP
285,INTJ,INTP
286,ISTJ,INTJ
287,INFP,INTP
288,ENTP,INFJ
289,ISTJ,INTJ
290,INTP,INTP
291,ENTP,INFP
292,INTJ,INTP
293,ESFP,ENTP
294,ISTJ,INTP
295,INFP,INFP
296,ISFP,INTP
297,INTP,INTP
298,ISTJ,INTJ
299,ISFJ,INFP
300,INFP,INTP
301,ENTP,INFJ
302,ISTJ,INTJ
303,INTP,INTP
304,INTJ,INTP
305,ISTJ,INTP
306,INTJ,INTP
307,INFP,INFP
308,INTP,INFP
309,ESTP,INTP
310,ENTJ,INTP
311,ENTP,INTP
312,ENFP,INTP
313,ISFP,INTJ
314,INFP,INTP
315,INTP,INFP
316,INFJ,INTP
317,INTJ,INFP
318,ESFP,INFP
319,INFP,INTP
320,ESTJ,INFP
321,ENTP,INTP
322,INTJ,INFJ
323,ESTP,INFP
324,INTJ,INTJ
325,ENTJ,INFP
326,INTP,INFP
327,ISTJ,INTP
328,ENFP,INTP
329,INTJ,INFP
