,True,Predicted
0,INTP,INTP
1,ENTP,INFJ
2,ISTP,INFP
3,ISFP,INTP
4,INTJ,INTP
5,INTJ,INTP
6,INTP,INFP
7,INFP,INFP
8,ESFJ,INFP
9,ENFJ,INTP
10,ENTP,INFP
11,INFJ,INTP
12,INTP,INTP
13,INTP,INTJ
14,INFP,INTP
15,INFJ,INTP
16,ENFP,INTP
17,ISFP,INFP
18,INTP,INTP
19,INTP,INTP
20,INFP,INFJ
21,ISTP,INTP
22,INTJ,INTP
23,INTP,INFJ
24,ISTP,INTP
25,INTJ,INTP
26,INFP,INFJ
27,ISTP,INTP
28,ESTJ,INFJ
29,INTP,INTP
30,ENTP,INTP
31,ENTP,INTJ
32,ISFP,INTJ
33,INTP,INTP
34,ISTJ,INFJ
35,ENTP,INTP
36,INFJ,INFP
37,INTP,INTP
38,ESTP,INTP
39,INFJ,INTP
40,INTP,INTP
41,INTP,INTP
42,INTP,INTP
43,ISTJ,INFJ
44,INFJ,INTJ
45,INFJ,INTP
46,ENFP,INTP
47,ENTP,INTP
48,ESTP,INFJ
49,INTP,INTP
50,ENTP,INTP
51,ENTP,INFP
52,INFP,INFP
53,ENTP,INFJ
54,ESTP,INTP
55,INTP,INTP
56,ISTJ,INFP
57,INTP,INTP
58,INFJ,INTP
59,INTP,INTP
60,ISTP,INTP
61,INFJ,INTP
62,INTP,INFJ
63,ESTP,INTJ
64,INFJ,INFJ
65,ENTP,INFP
66,INFP,INTP
67,ESFP,INFP
68,ENTP,ENTP
69,INTP,INTP
70,INTJ,INTJ
71,INFJ,ENTP
72,INTJ,INTP
73,INFP,INFJ
74,INFP,INTP
75,INTJ,INFP
76,ENTP,INTP
77,ISFP,INTP
78,ENTP,INTP
79,INTJ,INTP
80,ESFJ,INTP
81,INFJ,INTP
82,INTP,INTP
83,ENFP,INTP
84,ENTP,INTP
85,INFP,INTP
86,INTJ,INFP
87,ISTJ,INTP
88,ENTP,INFJ
89,INFP,INTP
90,INTP,INTP
91,INTJ,INTP
92,ESTP,INTP
93,ISTP,INTP
94,INTP,INFP
95,INFJ,INTP
96,INTJ,INTP
97,INTJ,INTP
98,ISFP,INTJ
99,INFJ,INTP
100,INTP,INFP
101,ISFP,INTP
102,ESFP,INFJ
103,ENTJ,INFP
104,INFP,INFJ
105,ISFP,INTJ
106,ISTP,INTP
107,INTP,INTP
108,INFP,INTP
109,INTP,INTP
110,ENTP,INTP
111,ISTP,INFJ
112,INTJ,INTP
113,INFJ,INFP
114,INFJ,INTP
115,INTP,INTP
116,INFP,ENTP
117,INFP,INTP
118,INFP,INFP
119,ESTP,INTP
120,INTJ,INTP
121,INTP,INTP
122,INTP,INTP
123,INTJ,INTP
124,INFP,INFP
125,INFP,INFP
126,INTJ,INTP
127,INFJ,INTJ
128,ENTP,ENTP
129,INFP,INTP
130,INTJ,INTJ
131,INTJ,INTP
132,INFJ,INTP
133,INTP,INTP
134,ENTJ,INFP
135,INTJ,INTP
136,ENTP,INTJ
137,ENTJ,INTP
138,INTP,INFJ
139,INTP,INTP
140,INTJ,INTP
141,ISTJ,INTP
142,INFJ,INFJ
143,INFJ,INFP
144,ESTP,INTP
145,INFP,INFJ
146,ISFP,INTP
147,INFP,INFP
148,ENTP,INFP
149,INTP,INTP
150,ISFP,INTJ
151,ESTP,INTP
152,ESTP,INTP
153,ISTJ,INTP
154,INTP,INFP
155,ENTP,INTP
156,ENTJ,INTJ
157,ISTJ,INFP
158,ISFP,INFP
159,INTJ,INTP
160,ISFP,INTP
161,INTJ,INFP
162,INTP,INTP
163,ENFP,INTP
164,INFJ,INTP
165,ENTP,INFP
166,ENTP,INTP
167,INTJ,INFJ
168,ENTP,INFP
169,ENTP,INTP
170,ENTP,INTP
171,INTP,INTP
172,INFJ,INFP
173,INTP,INTP
174,ESFJ,INFP
175,ENTP,INTP
176,ISTJ,INFP
177,ENTP,INTP
178,INTJ,INTP
179,INTP,INTP
180,ENTP,INTP
181,ISFP,ENTP
182,ESFP,ENTP
183,INTJ,INTP
184,INFP,INFP
185,ENFJ,INFJ
186,ESTP,INTP
187,ENTP,INTP
188,INFJ,INFP
189,INTP,INTP
190,ESTP,INTJ
191,ENTP,INFP
192,ISFP,INFP
193,ENFJ,INTP
194,ISFJ,INFP
195,ISTJ,INFP
196,ESFP,INTP
197,ISFJ,INTP
198,INTP,INTP
199,ENTP,INTP
200,INTP,INFJ
201,ESTP,INTJ
202,INTJ,INTP
203,ENTJ,INTP
204,ENTP,ENTP
205,ENTP,INTP
206,ESTP,INFP
207,INTP,INTP
208,INFP,INTP
209,ENTP,INFP
210,ENTP,INTP
211,ESTP,INTP
212,INTJ,ENTP
213,INTP,INTP
214,ESTP,INTJ
215,ENTJ,INTP
216,ENTP,INTP
217,INTJ,INTP
218,ENTP,INTP
219,INTJ,INFP
220,INTJ,INTP
221,INTJ,INTP
222,INFJ,INTP
223,ENFP,INTP
224,ENTP,INFP
225,ENFP,INFP
226,ENFP,INFJ
227,ENTP,INTP
228,INTP,INFP
229,ENTP,INTP
230,INFJ,INTP
231,INTJ,INTJ
232,INFJ,INTP
233,INFP,INTP
234,INFJ,INFJ
235,ENFP,INTP
236,INFJ,INTP
237,INTJ,INTP
238,ENTP,INFP
239,ENFP,INFP
240,INTP,INTP
241,ISFJ,INTP
242,ESTP,INTP
243,ENTP,INFJ
244,INFP,INFP
245,INFJ,INTP
246,ENTJ,INFP
247,INFP,INTP
248,ENTJ,INTP
249,INTP,INTP
250,ENTP,INFP
251,ISTJ,INTP
252,INTP,INFP
253,INTP,INTP
254,ENFP,INTP
255,INFP,INFP
256,ISFP,INFJ
257,INFJ,INFP
258,ISTP,INTP
259,INFJ,INTP
260,ENTP,INTP
261,INTP,INTP
262,INTJ,INTJ
263,INFP,INFJ
264,INTJ,INTJ
265,INTP,INTP
266,ISTJ,INTP
267,INTP,INTJ
268,INTP,INTP
269,INTJ,INFP
270,ESFP,INTJ
271,INTP,INTP
272,INTP,INTP
273,ESTP,INFP
274,INFJ,INFP
275,INFJ,INTP
276,ENFP,INFP
277,INFJ,INTP
278,INTJ,INFP
279,ESTJ,INTP
280,INFJ,INTP
281,INTJ,INTP
282,ISTJ,INFP
283,INFP,INFP
