,True,Predicted
0,ISFJ,ISFJ
1,ISFJ,INTJ
2,ENTP,INTP
3,ISFJ,INTJ
4,ISTJ,ISTJ
5,ISFJ,ENTP
6,ISFP,INTP
7,ISFJ,INTJ
8,INFP,INFP
9,INFJ,ENFP
10,ESFJ,INFJ
11,ESTJ,ESTJ
12,ESTP,INFP
13,ENTJ,INTJ
14,ENTP,INTJ
15,ISTJ,INTP
16,ENFJ,INFP
17,ENFJ,ESTP
18,INTJ,ENTP
19,INTP,INTP
20,INTJ,INTJ
21,ENFJ,ENFJ
22,ISFJ,INFJ
23,ENTP,INTJ
24,ESTJ,INFJ
25,ENTJ,INFP
26,ISTJ,ENTP
27,ISTP,ENTP
28,ISTJ,INFP
29,ESFJ,INTP
30,ISFJ,INTP
31,ISFP,ISTJ
32,ENTJ,INTP
33,ESFP,INFP
34,ENTJ,ENTJ
35,ESFJ,ENTJ
36,INTP,ENTP
37,ENFP,ENTP
38,ISTP,INFP
39,ENTJ,INTJ
40,ENTP,INTJ
41,ISTJ,INTJ
42,ESTJ,INTJ
43,ESFP,INFP
44,ESFJ,ENFP
45,ISFJ,INFP
46,INFJ,INTP
47,ISFJ,INTJ
48,ENFJ,INFJ
49,ISFP,INFP
50,ESFP,INFP
51,ENFP,ENFP
52,ESFP,INFP
53,INTP,ISFJ
54,INFJ,INFJ
55,ESTJ,INTP
56,ISTJ,INFP
57,INTP,ESTP
58,ISTP,ENTP
59,ENFJ,INTJ
60,ISFP,INFP
61,INFP,ISTP
62,ESFP,INTJ
63,ISFP,ISFP
64,ESFP,ISTJ
65,ISFJ,INTP
66,INFP,ENTP
67,ESTP,INTP
68,ESFJ,INTP
69,ISFP,INFP
70,ENFJ,ISFJ
71,ESFJ,INFJ
72,INTJ,INFJ
73,ENTJ,INFP
74,ENTJ,ENTJ
75,ESFP,ENFP
76,ESTP,ISTP
77,INTJ,ENTP
78,ISTP,INTJ
79,ESFP,ESFP
80,ESFP,INFP
81,INTJ,INFJ
82,ENFJ,INTP
83,INTP,INTP
84,ISFP,INTJ
85,ISTP,ENTP
86,INFJ,INTJ
87,ISFP,INTJ
88,INTJ,INFP
89,ESFJ,ESFP
90,ESTP,INTP
91,INFP,INFP
92,ENTJ,INTP
93,ENTP,ISTJ
94,ISTJ,INTJ
95,ISTJ,ISTJ
96,ISFP,INTJ
97,INFJ,INTP
98,ESFJ,INFP
99,INTP,ENTP
100,INFJ,INFP
101,ISTJ,ENTP
102,ISFP,INTP
103,INTJ,INFP
104,INFP,ENTP
105,ESTP,INFP
106,ESTJ,ISTJ
107,ENTJ,INTP
108,ISTP,INTP
109,ISTJ,INTP
110,ISFJ,INFP
111,ISTP,INFP
112,ISTJ,INTP
113,INFJ,INFP
114,INTP,INFP
115,INTJ,ENFJ
116,INTJ,INTJ
117,ESFJ,INTP
118,ESTJ,INFP
119,ISFP,INTP
120,ISFP,ESTP
121,ESTJ,INFJ
122,ISTJ,ENFP
123,INTJ,INTJ
124,ISFP,ENTP
125,ESTJ,ENTP
126,ISFJ,INTP
127,ESFP,ENTP
128,ENTJ,ENTP
129,ESTJ,INTP
130,ESTP,ISTP
131,ISFP,ENTP
132,ESTJ,INFP
133,ESTJ,INFJ
134,ISTJ,INFP
135,ESFJ,ESFJ
136,INTJ,INTJ
137,ISTP,ENTP
138,ISTP,ENTP
139,ENFJ,INTP
140,ENFJ,INTJ
141,ENTJ,INTJ
142,ESTP,ENTP
143,ENTJ,INFJ
144,ESFP,INTJ
145,ISTJ,ISTJ
146,ENFJ,INFJ
147,INFJ,INTJ
148,INTJ,ENTP
149,ENFP,ENTP
150,ISFP,ENTP
151,ISTJ,INFJ
152,ESTJ,INFJ
153,ENFJ,INTP
154,ISTP,ENTP
155,ISFP,ESFJ
156,ENTJ,ENTP
157,ISFJ,INTP
158,ESFJ,ISTJ
159,ENTJ,INTP
160,ESTJ,ENFJ
161,INTJ,INTP
162,ISFJ,INTJ
163,ENTP,INTP
164,ENTP,INFP
165,ISTP,INFP
166,ENTP,ISTJ
167,ENFJ,INFP
168,ESTJ,INFP
169,ESTP,ISTP
170,ENTP,INTP
171,ENTP,ENTP
172,ISFP,ENFJ
173,ISTJ,INTJ
174,ESFJ,ISFJ
175,ISTJ,ENTJ
176,INTJ,INTP
177,INTJ,ENTJ
178,INFJ,INTP
179,ESFJ,ENFJ
180,ESTP,ISTJ
181,ESTJ,ENTP
182,ESFJ,INTP
183,INFJ,INFJ
184,ESFP,INFP
185,INFP,INTJ
186,ISFJ,INFP
187,ENFJ,INTP
188,INTP,INTP
189,INTP,ENFP
190,INFJ,INFJ
191,ENFP,ISTJ
192,INFP,INFP
193,ENTP,INFP
194,INTP,INFP
195,INFJ,ISTP
196,ISTJ,ISTJ
197,INFJ,INTP
198,ESFJ,INFP
199,ESFP,INTJ
200,ENTJ,ENTP
201,ESFJ,INTP
202,ESTP,ISFP
203,ESFP,ENTJ
204,ENFP,ENTP
205,ISTJ,INTJ
206,ENFJ,INTP
207,ISFJ,INFP
208,ESFP,INFP
209,INTJ,INTJ
210,ENFP,INFP
211,ENFJ,ENTP
212,ENFJ,ENTP
213,ESTJ,INTP
214,ISTJ,ESFP
215,ESFJ,ISTJ
216,INFJ,ISFJ
217,ESFP,INFJ
218,INFP,INTJ
219,ESFJ,ESTP
220,ESFP,INTP
221,ENFJ,ENFP
222,ENFP,INTJ
223,ENTJ,ENTP
224,ENFJ,INFP
225,ISFP,INTP
226,ISFP,INTJ
227,ENFJ,INTJ
228,ESFP,ESFP
229,ESTJ,INTP
230,INFP,INFP
231,ESFJ,ESFP
