,True,Predicted
0,N,N
1,S,N
2,N,N
3,N,N
4,N,N
5,S,N
6,N,N
7,N,N
8,N,N
9,S,N
10,N,N
11,N,N
12,N,N
13,N,N
14,N,N
15,N,N
16,N,N
17,S,N
18,S,N
19,N,N
20,S,N
21,N,N
22,N,N
23,S,N
24,S,N
25,N,N
26,N,N
27,N,N
28,S,N
29,N,N
30,N,N
31,N,N
32,S,N
33,N,N
34,N,N
35,N,N
36,N,N
37,N,N
38,N,N
39,N,N
40,S,N
41,N,N
42,N,N
43,S,N
44,S,N
45,N,N
46,S,N
47,N,N
48,S,N
49,N,N
50,N,N
51,N,N
52,N,N
53,N,N
54,N,N
55,N,N
56,S,N
57,N,N
58,S,N
59,N,N
60,N,N
61,N,N
62,N,N
63,N,N
64,N,N
65,N,N
66,N,N
67,S,N
68,N,N
69,S,N
70,S,N
71,N,N
72,N,N
73,S,N
74,N,N
75,N,N
76,S,N
77,N,N
78,N,N
79,N,N
80,S,N
81,N,N
82,S,N
83,N,N
84,N,N
85,S,N
86,N,N
87,N,N
88,S,N
89,S,N
90,N,N
91,N,N
92,N,N
93,S,N
94,S,N
95,N,N
96,N,N
97,N,N
98,N,N
99,S,N
100,N,N
101,N,N
102,S,N
103,N,N
104,N,N
105,N,N
106,N,N
107,S,N
108,N,N
109,N,N
110,S,N
111,N,N
112,N,N
113,N,N
114,N,N
115,N,N
116,N,N
117,N,N
118,N,N
119,N,N
120,N,N
121,N,N
122,S,N
123,N,N
124,N,N
125,N,N
126,S,N
127,N,N
128,N,N
129,S,N
130,N,N
131,N,N
132,N,N
133,N,N
134,N,N
135,N,N
136,N,N
137,N,N
138,N,N
139,S,N
140,N,N
141,N,N
142,N,N
143,N,N
144,S,N
145,S,N
146,N,N
147,N,N
148,N,N
149,N,N
150,S,N
151,S,N
152,N,N
153,S,N
154,S,N
155,N,N
156,N,N
157,S,N
158,N,N
159,N,N
160,N,N
161,N,N
162,N,N
163,N,N
164,N,N
165,S,N
166,N,N
167,S,N
168,N,N
169,N,N
170,N,N
171,N,N
172,N,N
173,S,N
174,N,N
175,N,N
176,N,N
177,N,N
178,N,N
