,True,Predicted
0,T,T
1,T,T
2,F,T
3,F,T
4,T,F
5,F,T
6,T,T
7,T,T
8,T,F
9,T,F
10,T,F
11,T,F
12,T,F
13,F,T
14,T,T
15,T,T
16,T,F
17,T,T
18,T,T
19,F,T
20,F,F
21,T,F
22,T,F
23,T,F
24,F,T
25,T,F
26,F,F
27,T,T
28,F,F
29,T,F
30,T,T
31,T,F
32,T,T
33,F,T
34,F,T
35,F,F
36,F,T
37,T,F
38,F,F
39,F,F
40,T,T
41,T,F
42,F,F
43,T,T
44,F,F
45,F,F
46,T,T
47,F,T
48,T,T
49,T,F
50,T,F
51,T,F
52,F,T
53,F,F
54,T,T
55,F,F
56,F,F
57,T,F
58,T,T
59,F,T
60,T,F
61,T,T
62,F,T
63,F,F
64,T,F
65,T,T
66,T,F
67,F,T
68,T,T
69,F,T
70,T,F
71,T,F
72,T,T
73,F,F
74,F,T
75,T,F
76,T,T
77,T,F
78,T,T
79,T,F
80,F,T
81,T,T
82,F,F
83,T,T
84,F,T
85,F,T
86,T,T
87,F,T
88,F,F
89,T,T
90,F,F
91,F,T
92,F,F
93,F,F
94,T,T
95,F,F
96,T,F
97,F,T
98,F,F
99,F,F
100,T,T
101,F,T
102,T,T
103,F,F
104,F,T
105,T,F
106,T,T
107,F,T
108,F,F
109,F,F
110,T,F
111,F,F
112,T,T
113,F,F
114,T,T
115,T,T
116,T,F
117,F,T
118,T,T
119,F,T
120,F,F
121,T,F
122,T,T
123,F,T
124,T,F
125,F,T
126,F,T
127,T,T
128,F,F
129,F,T
130,F,T
131,F,F
132,F,T
133,T,T
134,T,T
135,F,T
136,F,T
137,T,T
138,F,F
139,F,T
140,T,T
141,T,F
142,F,T
143,F,F
144,F,T
145,T,T
146,T,T
147,T,F
148,T,F
149,T,F
150,T,F
151,F,T
152,F,T
153,F,T
154,F,F
155,T,F
156,T,T
157,T,T
158,T,T
159,T,T
160,F,T
161,F,F
162,T,T
163,F,F
164,T,F
165,F,F
166,F,F
167,T,T
168,F,T
169,F,T
170,F,F
171,F,F
172,T,F
173,F,T
174,T,T
175,T,T
176,T,F
177,T,T
178,T,T
179,F,T
180,T,F
181,F,F
182,T,T
183,F,T
184,F,F
185,T,T
186,F,T
187,T,T
188,T,T
189,T,T
190,F,F
191,T,T
192,T,T
193,F,T
194,T,T
195,F,F
196,T,T
197,T,T
198,T,T
199,F,T
200,F,F
201,T,T
202,T,F
203,F,T
204,T,T
205,T,T
206,F,T
207,T,T
208,F,F
209,T,T
210,T,T
211,F,F
212,T,F
213,F,F
214,F,T
215,T,F
216,T,T
217,T,T
218,F,F
219,T,T
220,F,T
221,F,T
222,F,T
223,F,T
224,F,T
225,T,T
226,F,T
227,T,F
228,T,T
229,F,F
230,F,T
231,T,T
232,F,T
233,T,T
234,T,F
235,F,F
236,T,F
237,T,F
238,F,T
239,T,T
240,T,T
241,T,T
242,T,T
243,T,T
244,T,F
245,F,T
246,T,F
247,T,F
248,F,T
249,T,F
250,F,T
251,F,F
252,T,T
253,F,T
254,F,T
255,F,F
256,T,F
257,F,T
258,T,T
259,T,T
260,T,F
261,T,F
262,T,T
263,T,T
264,F,F
265,T,F
266,T,F
267,F,T
268,T,F
269,T,T
270,T,F
271,T,T
272,T,T
273,T,F
274,F,T
275,F,F
276,T,T
277,T,T
278,F,T
279,T,F
280,F,T
281,T,T
282,T,T
283,T,T
284,T,F
285,T,F
286,F,T
287,T,F
288,F,T
289,F,F
290,F,F
291,T,T
292,F,F
293,T,F
294,T,T
295,T,T
296,F,T
297,F,F
298,T,F
299,T,F
300,F,T
301,T,F
302,T,T
303,T,T
304,F,F
305,T,F
306,F,F
307,T,F
308,F,T
309,T,F
310,F,T
311,F,T
312,F,T
313,T,F
314,T,F
315,F,F
316,T,T
317,T,T
318,T,T
319,T,T
320,F,F
321,F,T
322,T,T
323,T,F
324,T,F
325,T,F
326,F,T
327,F,F
328,F,T
329,T,T
330,T,T
331,F,F
332,T,F
333,T,F
334,F,T
335,F,T
336,F,T
337,F,T
338,T,F
339,F,F
340,T,T
341,F,T
342,F,T
343,T,T
344,F,F
345,T,T
346,F,F
347,T,T
348,F,F
349,T,F
350,F,F
351,F,F
352,F,F
353,T,T
354,F,F
355,T,T
356,F,T
357,T,F
358,F,F
359,T,F
360,F,T
361,T,F
362,T,T
363,F,T
364,T,F
365,T,F
366,F,F
367,T,T
368,T,T
369,F,F
370,F,T
371,F,F
372,T,T
373,T,T
374,F,T
375,T,T
376,T,F
377,F,F
378,T,T
379,F,F
380,T,F
381,F,F
382,T,T
383,F,T
384,T,F
385,F,T
386,T,F
387,F,F
388,T,F
389,T,T
390,F,F
391,F,T
392,F,T
393,F,T
394,T,F
395,F,F
396,T,T
397,T,F
398,T,T
399,T,F
400,T,F
401,T,T
402,F,F
403,F,F
404,T,F
405,T,T
406,F,T
407,T,T
408,T,T
409,F,T
410,F,F
411,T,T
412,T,F
413,T,T
414,F,F
415,F,T
416,T,F
417,F,T
418,T,T
419,T,T
420,F,T
421,T,F
422,F,T
423,F,T
424,T,F
425,F,F
426,T,F
427,F,F
428,F,T
429,T,T
430,F,T
431,T,F
432,F,T
433,T,T
434,F,F
435,T,T
436,F,F
437,T,F
438,T,F
439,T,T
440,F,T
441,F,F
442,T,T
443,F,T
444,F,T
445,F,T
446,F,F
447,F,F
448,F,T
449,T,T
450,F,F
451,T,T
452,T,T
453,F,F
454,T,F
455,T,T
456,T,F
457,T,T
458,T,T
459,T,T
460,T,T
461,F,F
462,F,F
463,F,F
464,T,F
465,T,F
466,F,T
467,T,T
468,F,T
469,F,T
470,F,F
471,T,F
472,T,F
473,T,T
474,T,T
475,T,F
476,F,T
477,T,F
478,F,F
479,T,F
480,F,T
481,F,T
482,T,T
483,T,F
484,T,T
485,F,T
486,T,T
487,F,F
488,T,T
489,T,F
490,F,F
491,T,T
492,T,F
493,T,F
494,F,F
495,T,T
496,F,T
497,T,T
498,T,T
499,T,T
500,T,T
501,F,T
502,T,F
503,F,F
504,T,T
505,F,F
506,T,T
507,F,T
508,T,T
509,T,F
510,F,F
511,F,F
512,F,F
513,F,T
514,F,T
515,F,T
516,F,T
517,T,F
518,F,T
519,T,T
520,T,F
521,F,F
522,F,F
523,T,F
524,F,F
525,T,T
526,T,F
527,T,F
528,T,T
529,F,F
530,T,F
531,F,F
532,T,F
533,T,T
534,T,F
535,F,F
536,F,F
537,T,T
538,F,F
539,F,F
540,F,T
541,T,T
542,T,T
543,T,F
544,T,T
545,F,F
546,F,T
547,T,T
548,T,T
549,F,T
550,F,T
551,T,T
552,T,F
553,T,F
554,T,F
555,T,F
556,F,T
557,T,F
558,F,T
559,F,F
560,F,F
561,F,T
562,F,T
563,T,T
564,F,T
565,T,T
566,T,T
567,F,F
568,T,T
569,F,T
570,T,F
571,T,F
572,F,T
573,F,T
574,F,T
575,T,T
576,T,T
577,T,T
578,T,T
579,F,F
580,F,T
581,T,T
582,T,F
583,T,T
584,T,T
585,T,T
586,T,T
587,F,T
588,F,F
589,F,T
590,F,T
591,T,F
592,F,F
593,T,T
594,T,F
595,T,F
596,T,F
597,T,T
598,F,F
599,T,T
600,F,F
601,F,T
602,F,T
603,F,T
604,T,T
605,T,F
606,T,T
607,T,T
608,F,F
609,F,T
610,T,T
611,F,F
612,T,F
613,F,F
614,T,T
615,T,F
616,F,F
617,F,F
618,T,T
619,T,F
620,F,F
621,F,T
622,F,F
623,T,F
624,F,F
625,F,T
626,T,F
627,F,F
628,F,F
629,F,F
630,T,T
631,T,T
632,T,F
633,F,F
634,T,T
635,T,T
636,T,F
637,F,T
638,F,T
639,F,T
640,F,F
641,T,T
642,T,F
643,T,T
644,T,T
645,F,T
646,T,T
647,F,F
648,T,T
649,F,T
650,T,F
651,F,T
652,F,F
653,F,F
654,F,T
655,T,T
656,T,T
657,T,F
658,F,T
659,F,F
660,F,F
661,T,F
662,T,T
663,T,F
664,F,T
665,F,T
666,T,T
667,T,F
668,T,T
669,F,T
670,T,F
671,F,F
672,T,T
673,F,F
674,T,F
675,F,F
676,F,T
677,T,T
678,F,T
679,T,F
680,T,T
681,T,T
682,T,F
683,T,T
684,T,F
685,T,F
686,F,T
687,T,F
688,F,F
689,F,T
690,T,F
691,T,F
692,F,T
693,T,T
694,F,T
695,T,T
696,T,F
697,T,T
698,F,T
699,T,T
700,T,T
701,F,F
702,F,T
703,T,F
704,F,T
705,F,T
706,T,T
707,F,T
708,F,F
709,T,T
710,T,T
711,F,F
712,T,T
713,T,T
714,F,T
715,T,F
716,T,F
717,T,F
718,T,F
719,T,T
720,T,F
721,F,F
722,F,F
723,T,F
724,F,T
725,F,F
726,T,F
727,F,F
728,T,F
729,F,T
730,T,T
731,F,F
732,T,T
733,T,T
734,T,F
735,F,F
736,T,T
737,T,T
738,F,F
739,T,T
740,T,T
741,F,T
742,F,T
743,T,F
744,T,F
745,T,T
746,F,T
747,T,F
748,T,F
749,T,F
750,F,T
751,T,F
752,T,T
753,T,F
754,T,T
755,F,F
756,F,T
757,T,T
758,F,F
759,T,T
760,F,F
761,T,T
762,T,T
763,T,F
764,F,T
765,F,T
766,F,T
767,T,T
768,F,T
769,F,T
770,T,T
771,F,T
772,T,T
773,F,T
774,F,F
775,T,T
776,F,F
777,T,T
778,T,T
779,T,T
780,T,T
781,F,T
782,T,F
783,F,T
784,F,F
785,F,T
786,T,F
787,F,F
788,T,T
789,T,T
790,F,F
791,T,T
792,T,T
793,T,F
794,F,T
795,T,T
796,T,F
797,T,T
798,T,F
799,T,T
800,T,T
801,T,F
802,T,T
803,T,F
804,T,F
805,T,F
806,T,T
807,T,T
808,T,T
809,T,T
810,F,F
811,T,F
812,F,T
813,T,F
814,T,F
815,T,T
816,T,F
817,F,T
818,T,T
819,T,T
820,F,T
821,T,T
822,F,F
823,T,F
824,F,F
825,F,T
826,T,T
827,F,T
828,F,F
829,F,T
830,F,T
831,T,T
832,F,F
833,F,T
834,F,F
835,T,F
836,T,T
837,T,F
838,T,T
839,T,F
840,F,T
841,T,T
842,F,T
843,F,F
844,T,F
845,F,F
846,T,T
847,F,T
848,F,T
849,T,T
850,T,T
851,F,T
852,F,F
853,F,F
854,T,F
855,F,F
856,F,T
857,T,T
858,F,F
859,F,F
860,T,T
861,T,T
862,T,T
863,F,F
864,T,F
865,T,T
866,T,T
867,F,F
868,T,T
869,T,T
870,T,T
871,F,T
872,T,T
873,F,F
874,T,F
875,T,T
876,F,F
877,F,F
878,F,F
879,F,F
880,T,F
881,T,F
882,F,T
883,F,T
884,F,T
885,F,T
886,F,T
887,T,T
888,F,T
889,F,F
890,T,F
891,T,T
892,T,F
893,F,T
894,F,F
895,T,T
896,T,F
897,T,F
898,F,F
899,F,T
900,T,T
901,T,T
902,T,T
903,T,T
904,F,F
905,T,F
906,T,F
907,F,F
908,T,T
909,T,T
910,F,F
911,T,F
912,F,T
913,F,T
914,T,T
915,F,T
916,T,T
917,T,T
918,F,T
919,F,F
920,T,T
921,T,F
922,T,T
923,F,T
924,T,F
925,F,F
926,F,F
927,F,F
928,T,T
929,T,T
930,F,F
931,T,T
932,F,F
933,T,F
934,T,T
935,T,T
936,T,F
937,F,F
938,F,F
939,T,T
940,T,T
941,T,T
942,F,T
943,F,F
944,T,T
945,T,T
