,True,Predicted
0,T,F
1,F,F
2,F,F
3,T,T
4,T,T
5,F,F
6,T,F
7,T,F
8,T,T
9,T,T
10,F,T
11,T,T
12,T,F
13,T,T
14,F,F
15,T,F
16,F,T
17,T,T
18,F,T
19,F,F
20,F,T
21,T,F
22,F,T
23,F,T
24,T,F
25,F,F
26,T,T
27,F,F
28,F,F
29,F,T
30,T,T
31,T,T
32,F,T
33,T,F
34,T,T
35,T,T
36,T,T
37,T,F
38,F,F
39,T,F
40,T,T
41,T,T
42,T,T
43,T,T
44,F,T
45,T,T
46,T,T
47,T,F
48,F,T
49,T,T
50,T,T
51,F,F
52,F,T
53,T,T
54,F,T
55,T,T
56,F,T
57,T,F
58,F,F
59,F,T
60,F,F
61,T,F
62,T,F
63,T,F
64,F,T
65,T,F
66,T,F
67,T,F
68,T,T
69,F,T
70,F,F
71,T,F
72,T,T
73,F,F
74,T,F
75,T,T
76,F,T
77,T,F
78,T,T
79,T,F
80,F,F
81,T,T
82,F,T
83,T,T
84,F,T
85,F,F
86,F,T
87,F,F
88,T,F
89,T,T
90,F,T
91,F,T
92,F,T
93,T,T
94,F,T
95,T,F
96,F,T
97,T,F
98,T,T
99,T,F
100,F,F
101,T,T
102,T,T
103,F,T
104,F,T
105,T,T
106,T,T
107,F,T
108,F,T
109,T,F
110,T,T
111,F,F
112,T,T
113,T,T
114,T,F
115,T,T
116,T,F
117,T,F
118,T,F
119,F,F
120,T,T
121,T,F
122,F,T
123,F,T
124,F,T
125,F,F
126,F,T
127,T,T
128,F,T
129,T,F
130,T,F
131,T,T
132,F,T
133,T,T
134,F,T
135,T,F
136,T,F
137,F,T
138,T,F
139,F,T
140,T,T
141,F,T
142,F,T
143,T,T
144,F,F
145,T,F
146,T,F
147,F,F
148,T,T
149,T,T
150,T,F
151,F,F
152,T,T
153,F,F
154,T,T
155,T,T
156,T,F
157,T,F
158,T,T
159,F,T
160,F,T
161,T,T
162,F,T
163,T,F
164,T,T
165,T,T
166,F,T
167,F,F
168,F,F
169,F,T
170,T,T
171,T,T
172,T,T
173,F,F
174,F,T
175,F,F
176,F,F
177,T,T
178,T,F
179,T,T
180,T,T
181,T,T
182,F,T
183,F,T
184,F,T
185,F,F
186,T,T
187,T,T
188,T,F
189,F,T
190,T,F
191,F,F
192,F,F
193,T,T
194,F,T
195,F,T
196,F,T
197,T,F
198,F,F
199,F,F
200,F,F
201,T,F
202,T,F
203,T,T
204,F,T
205,F,F
206,F,T
207,T,T
208,F,T
209,F,T
210,T,T
211,T,F
212,F,T
213,T,F
214,T,F
215,T,T
216,T,F
217,T,T
218,T,F
219,T,T
220,F,T
221,T,T
222,T,T
223,T,F
224,T,T
225,T,T
226,T,F
227,F,F
228,T,T
229,F,F
230,F,T
231,F,T
232,F,T
233,T,F
234,T,F
235,T,T
236,F,F
237,T,T
238,T,T
239,T,T
240,F,T
241,T,F
242,F,T
243,T,F
244,T,T
245,T,T
246,T,T
247,T,T
248,T,T
249,F,F
250,F,T
251,T,T
252,T,F
253,T,T
254,F,T
255,T,F
256,F,T
257,F,T
258,T,T
259,F,F
260,T,F
261,T,T
262,T,T
263,T,F
264,F,F
265,F,T
266,T,F
267,F,F
268,F,T
269,T,T
270,F,T
271,T,F
272,T,T
273,F,T
274,T,F
275,T,T
276,T,T
277,T,T
278,F,T
279,F,T
280,F,F
281,T,F
282,T,T
283,T,F
284,F,T
285,T,F
286,T,T
287,F,F
288,T,F
289,T,F
290,T,T
291,T,T
292,T,F
293,F,T
294,T,T
295,F,F
296,F,T
297,T,T
298,T,F
299,F,F
300,F,T
301,T,T
302,T,T
303,T,T
304,T,F
305,T,T
306,T,T
307,F,T
308,T,T
309,T,T
310,T,F
311,T,T
