,True,Predicted
0,efis,efis
1,efis,iten
2,iten,iten
3,efis,etin
4,etis,iten
5,efis,iten
6,ifes,iten
7,efis,iten
8,ifen,iten
9,efin,ifen
10,efis,iten
11,etis,etis
12,ites,iten
13,etin,iten
14,iten,iten
15,etis,iten
16,efin,iten
17,efin,iten
18,etin,iten
19,iten,iten
20,etin,iten
21,efin,ifen
22,efis,efin
23,iten,efin
24,etis,iten
25,etin,iten
26,etis,iten
27,ites,iten
28,etis,iten
29,efis,iten
30,efis,ifen
31,ifes,etin
32,etin,iten
33,ifes,ifen
34,etin,etin
35,efis,iten
36,iten,iten
37,ifen,iten
38,ites,iten
39,etin,iten
40,iten,iten
41,etis,iten
42,etis,iten
43,ifes,iten
44,efis,iten
45,efis,iten
46,efin,iten
47,efis,etin
48,efin,etin
49,ifes,iten
50,ifes,ifen
51,ifen,ifen
52,ifes,ifen
53,iten,efin
54,efin,efin
55,etis,iten
56,etis,ifen
57,iten,iten
58,ites,iten
59,efin,iten
60,ifes,iten
61,ifen,etin
62,ifes,efis
63,ifes,iten
64,ifes,iten
65,efis,iten
66,ifen,iten
67,ites,iten
68,efis,iten
69,ifes,iten
70,efin,iten
71,efis,etin
72,etin,iten
73,etin,efin
74,etin,etin
75,ifes,iten
76,ites,iten
77,etin,iten
78,ites,iten
79,ifes,iten
80,ifes,iten
81,etin,iten
82,efin,iten
83,iten,etin
84,ifes,iten
85,ites,iten
86,efin,iten
87,ifes,iten
88,etin,ifen
89,efis,iten
90,ites,iten
91,ifen,ifen
92,etin,iten
93,iten,iten
94,etis,iten
95,etis,etis
96,ifes,iten
97,efin,iten
98,efis,ifen
99,iten,iten
100,efin,iten
101,etis,etin
102,ifes,ifen
103,etin,iten
104,ifen,efin
105,ites,iten
106,etis,etis
107,etin,iten
108,ites,iten
109,etis,iten
110,efis,iten
111,ites,ifen
112,etis,iten
113,efin,iten
114,iten,iten
115,etin,ifen
116,etin,etin
117,efis,iten
118,etis,iten
119,ifes,iten
120,ifes,iten
121,etis,iten
122,etis,iten
123,etin,iten
124,ifes,etin
125,etis,iten
126,efis,iten
127,ifes,iten
128,etin,iten
129,etis,iten
130,ites,iten
131,ifes,iten
132,etis,iten
133,etis,iten
134,etis,iten
135,efis,efis
136,etin,iten
137,ites,iten
138,ites,iten
139,efin,iten
140,efin,iten
141,etin,iten
142,ites,iten
143,etin,iten
144,ifes,iten
145,etis,iten
146,efin,iten
147,efin,ifen
148,etin,iten
149,ifen,iten
150,ifes,iten
151,etis,iten
152,etis,ifen
153,efin,iten
154,ites,iten
155,ifes,iten
156,etin,iten
157,efis,ifen
158,efis,iten
159,etin,iten
160,etis,efin
161,etin,iten
162,efis,iten
163,iten,iten
164,iten,iten
165,ites,ifen
166,iten,iten
167,efin,iten
168,etis,etin
169,ites,iten
170,iten,iten
171,iten,etin
172,ifes,iten
173,etis,iten
174,efis,ifen
175,etis,iten
176,etin,iten
177,etin,iten
178,efin,iten
179,efis,etin
180,ites,iten
181,etis,iten
182,efis,etin
183,efin,iten
184,ifes,iten
185,ifen,iten
186,efis,efin
187,efin,iten
188,iten,iten
189,iten,iten
190,efin,efin
191,ifen,etis
192,ifen,ifen
193,iten,ifen
194,iten,iten
195,efin,iten
196,etis,iten
197,efin,iten
198,efis,iten
199,ifes,iten
200,etin,iten
201,efis,etin
202,ites,iten
203,ifes,etin
204,ifen,iten
205,etis,iten
206,efin,iten
207,efis,efis
208,ifes,iten
209,etin,iten
210,ifen,iten
211,efin,etin
212,efin,etin
213,etis,iten
214,etis,iten
215,efis,iten
216,efin,iten
217,ifes,iten
218,ifen,iten
219,efis,iten
220,ifes,iten
221,efin,iten
222,ifen,iten
223,etin,iten
224,efin,iten
225,ifes,iten
226,ifes,iten
227,efin,iten
228,ifes,efis
229,etis,iten
230,ifen,iten
231,efis,efin
232,efin,iten
233,iten,iten
234,ifes,iten
235,efis,iten
236,ifen,efin
237,ifen,iten
238,ites,iten
239,efin,iten
240,etin,iten
241,iten,iten
242,efis,iten
243,ifes,iten
244,iten,etin
245,etis,efin
246,efin,ifen
247,ifen,ifen
248,etis,iten
249,etis,iten
250,ifes,iten
251,etin,etin
252,ifes,iten
253,etis,efin
254,etis,iten
255,efis,efis
256,ifen,ifen
257,ifen,ifen
258,ifen,iten
259,etis,iten
260,ites,iten
261,efin,iten
262,efin,iten
263,efis,iten
264,iten,iten
265,etin,iten
266,etis,iten
267,ites,iten
268,ifen,iten
269,iten,iten
270,etis,iten
271,etis,iten
272,efis,iten
273,efin,iten
274,ites,iten
275,iten,iten
276,etin,efin
277,ifen,etin
278,ites,iten
279,iten,iten
280,efin,iten
281,ifen,iten
282,ifes,iten
283,ifen,iten
284,etis,iten
285,efis,iten
286,efin,iten
287,ifes,iten
288,ifes,etis
289,iten,iten
290,etin,ifen
291,etis,iten
292,etin,iten
293,ifen,ifen
294,etis,iten
295,etin,iten
296,efis,efin
297,iten,iten
298,iten,iten
299,ifen,etin
300,iten,iten
301,ifes,iten
302,ifen,iten
303,efis,iten
304,efis,iten
305,efis,iten
306,ites,efin
307,etis,iten
308,efis,iten
309,ifes,iten
310,etin,iten
311,ites,iten
312,etin,iten
313,etin,iten
314,efin,ifen
315,ifen,iten
316,efis,iten
317,iten,iten
318,iten,iten
319,ifes,ifen
320,etis,etin
321,ifes,iten
322,ites,iten
323,etin,etin
324,ifes,iten
325,iten,iten
326,ifen,iten
327,ifes,iten
328,etin,etin
329,iten,iten
330,ifen,iten
331,ifen,iten
332,ifes,iten
333,etin,iten
334,efis,iten
335,ifes,iten
336,etis,iten
337,etis,iten
338,efis,iten
339,efis,iten
340,etis,iten
341,efis,iten
342,ites,iten
343,iten,iten
344,ifen,ifen
345,iten,etin
346,ifen,etin
347,etin,iten
348,ites,iten
349,ifes,iten
350,etin,iten
351,etis,iten
352,ites,etin
353,etin,iten
354,etin,iten
355,ifes,iten
356,efis,ifen
357,etis,iten
358,etis,iten
359,etin,iten
360,ites,efis
361,ifes,iten
362,ifen,iten
363,efis,iten
364,ifes,ifen
365,etin,iten
366,efin,iten
367,etin,iten
368,ifen,iten
369,iten,efin
370,iten,iten
371,efin,iten
372,iten,etin
373,ifes,iten
374,ifen,iten
375,efin,iten
376,ifen,iten
377,ites,iten
378,iten,iten
379,etin,iten
380,iten,iten
381,ifen,iten
382,efin,ifen
383,efin,iten
384,ifen,iten
385,efin,ifen
386,etin,iten
387,efin,iten
388,etis,iten
389,efis,iten
390,ifen,iten
391,etis,iten
392,ifes,iten
393,ifen,iten
394,etin,iten
395,etin,iten
396,ifen,iten
397,ifes,ifen
398,ifes,ifen
399,iten,efin
400,iten,iten
401,ites,iten
402,etis,iten
403,iten,iten
404,efin,iten
405,ites,etin
406,ifes,iten
407,ifen,iten
408,ifen,iten
409,efin,iten
410,efis,ifen
411,efin,iten
412,ifes,iten
413,etis,iten
414,ites,iten
415,etis,iten
416,ifen,iten
