,True,Predicted
0,IT,EN
1,IS,IN
2,EN,IF
3,ET,IT
4,IN,IN
5,IF,IN
6,EN,IN
7,IT,IN
8,EN,IF
9,IS,IT
10,IF,IN
11,EN,IN
12,EN,IN
13,IT,IT
14,EF,IN
15,IN,IN
16,EN,IT
17,IT,IT
18,ES,IN
19,IN,IT
20,IF,IN
21,ET,IN
22,IF,IT
23,ES,IN
24,ET,IT
25,IF,IN
26,IT,IF
27,EN,IN
28,ES,IN
29,EN,EN
30,IN,IT
31,IT,IT
32,IF,IN
33,IT,IN
34,IT,IT
35,IT,IT
36,IT,IT
37,IT,IF
38,IN,IN
39,EN,IT
40,IT,IN
41,IT,IN
42,IN,IF
43,IS,IN
44,IF,IT
45,IT,IT
46,IS,IT
47,IT,IN
48,ES,IF
49,IT,IN
50,IT,IT
51,EF,IN
52,IN,IF
53,IN,IN
54,IF,IT
55,IT,IT
56,IF,IN
57,IN,IT
58,ES,IN
59,IF,IN
60,EN,IN
61,IT,IT
62,IN,IF
63,EN,IN
64,IF,IN
65,IN,IT
66,IN,IN
67,IS,IF
68,IT,IN
69,IF,IT
70,ES,IN
71,EN,EN
72,IN,EN
73,EF,IN
74,ET,IT
75,IN,IN
76,IF,IN
77,ET,IT
78,IN,IT
79,ET,IN
80,IS,IT
81,IN,IT
82,IS,IN
83,IT,IN
84,IF,IT
85,IF,IT
86,IF,IN
87,IN,IT
88,ES,IN
89,IT,IT
90,IN,EN
91,EF,IT
92,IN,IF
93,IS,IN
94,IS,IN
95,EN,IT
96,IN,IN
97,EN,IN
98,ET,IT
99,ES,IF
100,IF,IN
101,IN,IT
102,IS,IN
103,IF,IT
104,IF,IN
105,IN,IN
106,IN,IN
107,IS,IN
108,IN,IF
109,IN,IN
110,ES,IF
111,IF,EN
112,IT,IT
113,IT,IT
114,IT,IN
115,IN,IT
116,EN,IF
117,IT,IN
118,IN,IN
119,EN,IN
120,IN,IN
121,IT,IN
122,EF,IN
123,IN,IF
124,IF,IT
125,IF,IF
126,EF,IN
127,ET,IN
128,IN,IT
129,IT,IN
130,EN,IT
131,ET,IN
132,EN,EN
133,IT,IT
134,IN,IT
135,EN,IN
136,IT,IN
137,IN,IF
138,IT,IN
139,IS,IT
140,IT,IN
141,EF,IN
142,EN,IT
143,IN,IT
144,IF,IN
145,IS,IN
146,IN,IN
147,IF,EN
148,IT,IT
149,ET,IN
150,IT,IN
151,IS,IN
152,EN,IF
153,ES,IT
154,IT,IT
155,IN,IT
156,IN,IN
157,IS,IT
158,IT,IN
159,IF,IN
160,IN,IT
161,IT,IN
162,IF,IN
163,IN,IF
164,IN,IN
165,ES,IT
166,EN,IT
167,IS,IN
168,IN,IF
169,IN,IN
170,EN,IT
171,IT,IT
172,IT,IT
173,EF,IF
174,IN,IT
175,IF,IN
176,IN,IN
177,IN,IN
178,IT,IT
179,IN,IN
180,IS,IT
181,ET,IN
182,EN,IN
183,IF,IN
184,IS,IT
185,IS,IN
186,IT,IN
187,IN,IN
188,IT,IN
189,ES,IN
190,ET,IN
191,EN,IN
192,EN,IF
193,ET,IT
194,EF,IN
195,EF,IN
196,IF,IN
197,EN,IT
198,IS,IN
199,EN,IT
200,EN,IN
201,IS,IF
202,IT,IN
203,ES,IN
204,IF,IT
205,IS,IN
206,IF,IT
207,IT,IN
208,IS,IN
209,ES,IN
210,IN,IT
211,IS,IN
212,IF,IF
213,IT,IN
214,ES,IT
215,IT,IT
216,IT,IN
217,IS,IN
218,IN,EN
219,IN,IN
220,EF,IF
221,IT,IN
222,IN,IT
223,IT,IF
224,IT,IT
225,ET,IN
226,IT,IT
227,EN,IN
228,EN,IT
229,IF,IN
230,IS,IN
231,IN,IN
232,IF,IT
233,EN,IN
234,IT,IN
235,IT,IN
236,IN,IN
237,ES,IN
238,IN,IN
239,EN,IF
240,ES,IN
241,IT,IT
242,IN,IF
243,IT,IN
244,ET,IN
245,IN,IN
246,EN,IF
247,IT,IN
248,IT,IN
249,IF,IT
250,IF,IN
251,ES,IN
252,ET,IT
253,IT,IN
254,ES,IF
255,IT,IN
256,IF,IN
257,EN,IN
258,EN,IT
259,IN,IN
260,EN,IN
261,IT,IN
262,IT,IN
263,IT,IN
264,IF,IN
265,IF,IT
266,IS,IN
267,IF,IN
268,IF,IN
269,IS,IN
270,IN,IT
271,IN,IT
272,IN,IN
273,IF,IN
274,IN,IN
275,EN,IF
276,IT,IN
277,EN,IF
278,ES,IN
279,IF,IN
280,EF,IN
281,EN,IF
282,IN,IF
283,IS,IN
284,EN,IT
285,IN,IT
286,IS,IN
287,IF,IT
288,EN,IN
289,IS,IN
290,IT,IT
291,EN,IN
292,IN,IT
293,ES,IT
294,IS,IN
295,IF,IF
296,IF,IN
297,IT,IT
298,IS,IT
299,IS,IT
300,IF,IT
301,EN,IN
302,IS,IN
303,IT,IT
304,IN,IT
305,IS,IN
306,IN,IT
307,IF,IF
308,IT,IF
309,ES,IN
310,ET,IT
311,EN,IT
312,EN,IN
313,IF,IN
314,IF,IT
315,IT,IN
316,IN,IT
317,IN,IF
318,ES,IT
319,IF,IN
320,ET,EN
321,EN,IN
322,IN,IN
323,ES,IN
324,IN,IN
325,ET,IT
326,IT,IN
327,IS,IN
328,EN,IN
329,IN,IN
330,IF,IF
331,IT,IN
332,IT,IF
333,IN,IT
334,EN,IT
335,ES,IN
336,EN,IF
337,EN,EN
338,IN,IN
339,IT,IT
340,IF,IN
341,IF,IN
342,EN,IN
343,ES,IN
344,IF,IT
345,IS,IN
346,EN,IN
347,IT,IF
348,ET,IN
349,EN,IN
350,IS,IN
351,IT,IT
352,IN,IN
353,EN,EN
354,IN,IN
355,IF,EN
356,EN,IN
357,IT,EN
358,EN,IN
359,IT,IN
360,EN,IN
361,IN,IN
362,IN,IN
363,IT,IT
364,IF,IN
365,EN,IF
366,EF,IF
367,IT,IN
368,EF,IN
369,IF,IN
370,IN,EN
371,IS,IN
372,IF,IN
373,IT,IT
374,IF,IF
375,IF,IN
376,IN,IN
377,ES,IN
378,IS,IF
379,EN,IN
380,IT,IN
381,IN,IN
382,IN,IN
383,EN,IF
384,IF,IN
385,ET,EN
386,IT,IT
387,IF,IT
388,IN,IN
389,IT,IN
390,IN,IF
391,IT,IF
392,IT,IT
393,IS,IF
394,IN,IN
395,IF,IN
396,EN,IN
397,IT,IN
398,ES,IN
399,IN,IT
400,IN,IF
401,EF,IN
402,ES,IT
403,ES,IN
404,IT,IN
405,IS,IN
406,EN,IT
407,IS,IS
408,EN,IT
409,IT,IN
410,IN,IN
411,ET,IF
412,IN,IN
413,IT,IN
414,IT,IT
415,IN,IT
416,IT,IT
417,IN,IN
418,IF,IN
419,IF,IN
420,ES,IN
421,IF,IN
422,ET,IN
423,IT,IN
424,IN,IN
425,IF,IF
426,IN,IT
427,IT,IN
428,IT,IN
429,IT,IT
430,IS,IF
431,IF,IF
432,IF,IN
433,IN,IT
434,IN,IT
435,IT,IT
436,IT,IT
437,IT,IN
438,IF,IN
439,ES,IT
440,ES,IN
441,IF,IT
442,IF,IN
443,IS,IN
444,EN,IT
445,IF,IN
446,EN,IN
447,ES,IN
448,IN,IT
449,IT,IN
450,IT,IN
451,IS,IN
452,EN,IN
453,EN,IT
454,IF,EN
455,IT,IT
456,IN,IF
457,IT,IN
458,IF,IF
459,ET,IN
460,IN,IN
461,IN,IN
462,IF,IN
463,IN,IN
464,IS,IT
465,IT,EN
466,EF,IN
467,ES,EN
468,IN,IN
469,IT,IT
470,IT,IT
471,IN,IN
472,IS,IN
473,IT,IN
474,IT,IN
475,IF,IT
476,EF,IN
477,IN,IN
478,IF,IT
479,EF,IT
480,IN,IN
481,EN,EN
482,IF,IN
483,IN,IT
484,EN,IT
485,ES,IT
486,IT,IT
487,IF,IN
488,IN,IN
489,IF,IT
490,ET,IN
491,IT,IT
492,IT,IN
493,IN,IT
494,IN,IN
495,IT,IF
496,IT,IT
497,IN,IN
498,IT,IS
499,IN,IN
500,ET,IN
501,IT,IT
502,ES,IF
503,IF,IN
504,IN,IF
505,EN,IT
506,IT,IT
507,IT,IN
508,IN,IN
509,IF,IF
510,IF,IN
511,ES,IT
512,ET,IF
513,IT,IT
514,IT,IN
515,IT,IT
516,IF,IN
517,ET,IN
518,EN,IN
519,IN,IT
520,IT,IN
521,IT,EN
522,EN,IT
523,IF,IF
524,IT,IT
525,EN,IT
526,IT,IT
527,IF,IT
528,ET,IN
529,IF,IT
530,IT,IN
531,IN,IN
532,IT,IN
533,IF,IT
534,IF,IF
535,IT,IF
536,IF,IN
537,IN,IT
538,IN,IT
539,IS,IT
540,IS,EN
541,EN,IN
542,IF,IN
543,IT,IN
544,IN,IT
545,EN,IN
546,IT,IN
547,IN,IT
548,EN,IN
549,IT,IN
550,EN,IN
551,IN,IT
552,IN,IT
553,ET,IF
554,EN,IN
555,IS,IN
556,IN,IN
557,EN,IN
558,IS,IN
559,IF,IT
560,EF,IN
561,IN,IT
562,IS,IT
563,IT,IN
564,ES,IN
565,EN,IF
566,IT,IN
567,ES,IN
568,EN,IT
569,IT,IN
570,EN,IT
571,IN,IN
572,IT,IT
573,IT,IN
574,IN,IN
575,IS,IN
576,IF,IN
577,IN,IN
578,IT,IN
579,EN,EN
580,EN,IT
581,ES,EN
582,IT,IN
583,EN,IT
584,IF,IN
585,IN,IN
586,IN,IS
587,IS,IN
588,EN,EN
589,EN,IT
590,IF,IN
591,IN,IN
592,IF,IN
593,IN,IN
594,EN,IT
595,EN,IF
596,IF,IN
597,IS,IN
598,IT,IN
599,IN,IT
600,ES,IN
601,IF,IF
602,EF,IN
603,EN,IN
604,EN,IT
605,EN,IN
606,IN,IT
607,IF,IN
608,EF,EN
609,ES,IT
